user_id;plan_trip_id;rating
103;65;4
436;140;4
861;24;4
271;34;4
107;53;4
72;136;4
701;18;4
21;57;4
615;112;4
122;5;4
467;154;4
215;158;4
331;182;4
459;13;4
88;83;4
373;29;4
100;3;4
872;90;4
664;104;4
131;123;4
662;186;4
309;76;4
770;130;4
344;108;4
492;156;4
414;82;4
806;77;4
386;2;4
192;127;4
956;135;4
277;26;4
161;88;4
460;16;4
314;151;4
22;168;4
253;188;4
748;73;4
857;32;4
561;15;4
475;141;4
59;5;4
511;74;4
682;52;4
476;77;4
700;169;4
976;181;4
783;110;4
190;178;4
958;143;4
687;106;4
958;127;4
563;7;4
876;40;4
567;156;4
244;160;4
832;99;4
505;143;4
131;85;4
485;198;4
819;65;4
647;132;4
21;11;4
841;108;4
167;26;4
274;189;4
388;165;4
601;151;4
316;85;4
14;168;4
242;151;4
777;123;4
346;144;4
565;189;4
898;68;4
340;104;4
92;80;4
367;159;4
956;53;4
455;106;4
428;153;4
509;44;4
776;140;4
943;90;4
35;101;4
206;97;4
81;9;4
932;12;4
562;69;4
872;182;4
388;182;4
2;28;4
390;56;4
566;99;4
106;197;4
772;110;4
822;77;4
477;103;4
703;106;4
402;109;4
730;112;4
556;58;4
162;78;4
202;75;4
958;42;4
996;166;4
270;68;4
863;181;4
816;33;4
271;71;4
456;56;4
462;105;4
727;200;4
252;101;4
702;51;4
296;74;4
725;171;4
720;121;4
749;143;4
338;166;4
879;143;4
53;5;4
792;83;4
922;182;4
217;51;4
764;10;4
188;140;4
380;4;4
493;95;4
41;146;4
157;80;4
15;36;4
813;25;4
65;98;4
857;164;4
839;101;4
521;195;4
344;9;4
129;61;4
648;53;4
472;146;4
63;171;4
139;163;4
499;63;4
593;121;4
392;105;4
675;4;4
419;93;4
289;169;4
379;173;4
773;178;4
490;28;4
231;170;4
41;80;4
28;76;4
135;116;4
201;69;4
840;98;4
780;1;4
930;167;4
33;96;4
48;17;4
503;112;4
407;91;4
574;88;4
728;163;4
805;174;4
99;170;4
684;167;4
872;90;4
726;49;4
987;190;4
547;38;4
961;151;4
739;150;4
613;132;4
943;177;4
462;59;4
643;68;4
769;199;4
5;130;4
218;49;4
503;126;4
767;159;4
398;111;4
871;168;4
795;48;4
393;51;4
207;43;4
15;98;4
858;183;4
554;177;4
892;124;4
461;80;4
691;185;4
575;111;4
864;143;4
743;27;4
241;196;4
564;192;4
96;158;4
900;164;4
734;195;4
485;113;4
407;86;4
231;114;4
749;124;4
655;49;4
171;76;4
541;55;4
36;56;4
525;196;4
160;95;4
839;44;4
699;159;4
243;186;4
86;87;4
796;181;4
578;84;4
682;151;4
557;156;4
574;16;4
953;165;4
646;149;4
796;145;4
28;37;4
620;77;4
556;147;4
340;158;4
798;45;4
958;146;4
331;62;4
640;164;4
506;100;4
348;52;4
473;19;4
231;109;4
190;44;4
225;7;4
385;172;4
377;117;4
283;68;4
958;34;4
633;194;4
628;69;4
973;55;4
745;10;4
259;42;4
359;41;4
710;197;4
456;122;4
411;138;4
649;10;4
318;102;4
677;188;4
225;128;4
819;179;4
234;149;4
684;136;4
664;193;4
975;92;4
827;113;4
374;78;4
672;85;4
608;30;4
472;49;4
233;9;4
692;145;4
113;69;4
830;58;4
497;185;4
442;62;4
564;52;4
268;189;4
510;40;4
807;166;4
386;171;4
387;63;4
113;147;4
613;50;4
625;161;4
952;141;4
81;78;4
699;97;4
113;190;4
2;43;4
642;177;4
220;36;4
566;122;4
855;108;4
997;10;4
736;95;4
225;6;4
385;57;4
403;129;4
638;71;4
130;186;4
53;21;4
684;92;4
730;127;4
672;80;4
710;56;4
416;116;4
247;148;4
836;182;4
439;25;4
203;156;4
184;5;4
123;120;4
401;21;4
767;18;4
294;175;4
280;198;4
837;57;4
884;93;4
610;19;4
198;128;4
982;97;4
907;193;4
511;131;4
752;170;4
144;21;4
609;40;4
201;67;4
124;153;4
187;127;4
326;55;4
464;180;4
349;172;4
771;109;4
660;98;4
764;184;4
955;183;4
932;112;4
403;198;4
346;115;4
963;117;4
511;87;4
147;81;4
148;66;4
864;19;4
711;135;4
820;118;4
489;191;4
929;42;4
936;42;4
640;59;4
551;20;4
338;73;4
872;17;4
641;27;4
779;175;4
988;2;4
953;63;4
473;62;4
946;100;4
151;19;4
415;17;4
990;69;4
298;167;4
611;117;4
263;199;4
764;81;4
144;39;4
346;36;4
624;168;4
572;173;4
881;132;4
2;153;4
897;197;4
