User_Id,Event_Id,Rating
1,515,1
1,611,3
1,211,5
1,421,2
1,556,3
1,676,5
1,469,5
1,475,1
1,201,5
1,461,2
1,109,3
1,684,4
1,715,3
1,93,3
1,212,5
1,341,3
1,226,2
1,29,4
1,511,2
1,266,5
1,231,2
1,422,3
1,67,3
1,393,2
1,196,2
1,718,5
1,102,2
1,105,4
1,596,4
1,532,3
2,234,3
2,432,3
2,656,5
2,535,4
2,700,5
2,215,4
2,614,4
2,21,1
2,494,4
2,583,5
2,530,5
2,582,2
2,158,1
2,716,2
2,223,5
2,296,4
2,567,5
2,65,2
2,580,4
2,181,5
2,32,1
2,353,3
2,31,2
2,505,2
2,233,5
2,640,2
2,673,3
2,121,1
2,503,1
3,386,5
3,99,1
3,447,4
3,674,2
3,227,2
3,109,5
3,146,5
3,41,1
3,104,1
3,456,3
3,246,3
3,280,4
3,473,2
3,485,5
3,20,3
3,127,5
3,273,2
3,538,4
3,428,2
3,355,1
3,294,2
3,27,3
3,617,1
3,386,2
3,636,2
3,495,1
3,447,4
3,587,2
3,223,3
3,488,3
4,341,1
4,411,1
4,139,5
4,529,1
4,267,5
4,681,3
4,182,1
4,61,4
4,324,3
4,172,5
4,563,3
4,6,5
4,369,3
4,186,5
4,658,2
4,600,5
4,407,3
4,577,4
4,202,4
4,595,4
4,411,1
4,458,4
4,475,4
4,388,4
4,513,3
4,577,2
5,347,4
5,475,1
5,51,1
5,455,4
5,601,4
5,101,5
5,364,4
5,43,3
5,566,2
5,175,2
5,730,4
5,597,3
5,188,5
5,456,1
5,359,4
5,251,5
5,318,4
5,202,5
5,211,5
5,268,4
5,185,4
5,548,5
5,324,5
5,671,5
5,130,1
5,672,5
5,569,1
5,690,2
5,496,4
5,313,1
5,79,3
5,707,1
5,491,4
6,117,4
6,328,5
6,698,4
6,19,1
6,34,1
6,84,3
6,42,2
6,583,5
6,320,3
6,85,2
6,82,5
6,698,5
6,386,1
6,615,1
6,290,4
6,306,4
6,39,5
6,507,5
6,540,3
6,56,1
6,279,5
6,211,5
6,482,3
6,488,2
6,154,4
6,451,1
6,714,4
6,706,5
7,488,1
7,34,2
7,485,4
7,466,2
7,616,1
7,462,5
7,342,5
7,121,1
7,101,3
7,610,2
7,600,4
7,128,5
7,157,4
7,502,5
7,534,3
7,417,1
7,488,4
7,607,4
7,13,2
7,104,1
7,188,3
7,13,5
7,308,5
7,527,3
7,500,4
7,622,2
7,681,2
8,566,2
8,698,1
8,247,2
8,276,5
8,311,5
8,61,3
8,541,3
8,368,2
8,471,1
8,7,3
8,370,2
8,72,4
8,582,1
